CITY;CODE_INSEE;RESULT;POPULATION_TOTAL;RATE_SEX_WOMEN;RATE_SEX_MEN;RATE_SPC_FARMERS;RATE_SPC_BUSINESS;RATE_SPC_INACTIVES;RATE_SPC_EXECUTIVES;RATE_SPC_EMPLOYEES;RATE_SPC_WORKERS;RATE_SPC_INTERMEDIATES;RATE_SPC_RETIRED;RATE_FAMILY_CHILDREN;RATE_FAMILY_CHILDLESS;RATE_FAMILY_SINGLE_PARENT;RATE_ONE_WOMAN;RATE_ONE_MAN;RATE_FAMILY;Ménage sans famille à plusieurs personnes ;RATE_ONE_PERSON;RATE_AGE_80+;De 15 à 24 ans ;RATE_AGE_25_39;RATE_AGE_40_54;RATE_AGE_55_64;RATE_AGE_65_79;RATE_SINGLE;RATE_DIVORCED;RATE_LIVEIN_PARTNER;RATE_MARRIED;RATE_CIVIL_PARTNER;RATE_WIDOWED;Inscrits;Abstentions;Votants;Blancs;Nuls;Exprimés;pct_abstention;pct_blancs;pct_nuls
Pougny;01308;GAUCHE;473.0;46.957261666345005;53.042738333654995;2.735400531580142;2.645585746169691;16.934991028542694;6.754052013198904;19.37561913895602;12.779640619244717;16.06336772809021;22.711343194217616;49.69535348837209;32.0766088794926;3.1906839323467233;6.44945644820296;6.44945644820296;84.9626463002114;2.1384405919661735;12.89891310782241;5.074978206260499;12.703028288089987;17.54138091629996;29.34407905300479;16.50967881753852;18.82685471880623;21.536198712889522;7.413274789272436;10.76577027418435;49.764914145495446;4.511666739302903;6.008175436096938;441.0;150.0;291.0;3.0;5.0;283.0;34.01;1.03;1.72
Saint-Alban;01331;CENTRE;8707.002091;52.035501852971834;47.9644981335494;0.6062890358348595;4.955535342736893;12.603979864085598;9.367874467392319;14.84422146602838;10.752888628668572;16.737383053597828;30.131828168613072;45.95510375650373;27.702035290575882;12.238820811832511;7.706810713800251;5.600804753499169;85.89595987039715;0.7964246623034376;13.307615455814412;6.668123754356646;11.833054535430703;19.340807222415993;25.2000597031036;17.259360188818533;19.69859459587452;21.784991737431074;7.176320966231938;11.745738656032888;47.04485456660411;6.048790305467233;6.199303754842873;148.0;31.0;117.0;2.0;0.0;115.0;20.95;1.71;0.0
Sainte-Croix;01342;DROITE;1327.0102470000002;51.076763333949806;48.9232366660502;2.6592633280390023;6.531802344519439;12.094778801300093;8.530629957637883;13.966077216383594;9.23566700768437;15.57691693947761;31.404864285668495;41.169797010617955;35.231535480373715;9.03168082318508;6.3746932015966555;6.665800976290425;85.43301346489149;1.5264925079361498;13.040494027172345;5.258413463585497;9.581200911533875;17.693018300965402;25.605568668202444;18.60436046143188;23.257438254568815;19.840717412018215;5.082029868377409;12.585160965413845;51.603247280486954;6.6113746744070045;4.277469799296564;421.0;72.0;349.0;4.0;2.0;343.0;17.1;1.15;0.57
Saint-Jean-le-Vieux;01363;DROITE;1110.013737;51.68316026457429;48.31683973542573;2.3909037493388117;4.658597605923326;10.125992068643999;7.937012479415195;16.704720813622494;11.912580666154488;15.016185036527391;31.2540075803743;43.46799277493986;33.301553366271534;7.508465365956098;10.791004111690558;4.9309843811419425;84.27801141707853;0.0;15.721988582921476;8.642992624166768;11.979551609839612;19.868036981048594;23.76474672367149;16.455776617307457;19.28889540365459;21.723524171741378;5.542227678859861;11.43543123830547;46.695239800828475;6.618098480449201;7.985478670127098;1419.0;274.0;1145.0;24.0;12.0;1109.0;19.31;2.1;1.05
Saint-Sulpice;01387;DROITE;2634.001135;50.25753870813629;49.742461248220046;1.990012218328234;3.998164234986448;7.254362518193765;8.990010058838825;14.50219537411846;13.043931498614722;16.157746719338867;34.06357733393701;48.047373639419476;29.997280961687974;10.085608941850362;5.0969223291545775;5.9848067225680985;88.13026358092287;0.7880074053195121;11.081729051722675;4.560074642333252;11.277558271289923;20.18756137475857;26.289833970965375;17.959768251895785;19.725203617162496;19.46267590808495;4.328205563106537;12.998365911588966;48.89775560803942;9.358694503080498;4.95430250609963;173.0;29.0;144.0;2.0;0.0;142.0;16.76;1.39;0.0
Savigneux;01398;DROITE;3489.0;53.13920107205059;46.860798927949396;1.1010743993709826;4.790199384994754;10.43660323606759;7.594521970055871;15.539931035653112;12.7317789568131;15.419887939891822;32.386003077152765;47.58670940097449;28.642020808254514;5.977927429062769;10.494675781026082;5.597160418458011;82.20665763829177;1.7015061908856408;16.091836170822585;6.514175407489654;11.2741027359043;18.776036553513574;24.903410833084816;16.992934965949242;21.539339529012665;19.834982244872013;6.1888861219055045;10.908678896172033;48.56170794036597;8.017050429771933;6.4886943419582845;1039.0;205.0;834.0;12.0;5.0;817.0;19.73;1.44;0.6
Seyssel;01407;DROITE;2262.281215;52.52198998526154;47.47801001473846;1.3069397855730245;5.725390332563082;10.729235758884583;7.278004742055115;17.8896522204083;14.817902067083446;15.267923822428402;26.98495134468604;50.37093538346868;27.536278508151778;5.356699343852352;9.028678382055169;7.707408382472025;83.26391327967598;0.0;16.736086720324025;7.146101068795139;12.56388457038337;22.81274958846537;23.63302150722339;16.626169629501078;17.218073598774488;25.700312038407247;7.372001320147183;13.424839397017518;42.82959206958476;4.899310109842537;5.773945028143591;668.0;150.0;518.0;6.0;2.0;510.0;22.46;1.16;0.39
Versonnex;01435;CENTRE;678.0;50.719965700702254;49.28003425657803;0.6061916453465722;3.2154376268666067;15.29602680047403;11.514235217266556;19.152478037832214;10.256852198621216;21.70411492138606;18.254663594926473;63.47666091445427;21.237510914454276;10.79207330383481;2.2468774336283186;2.2468774336283186;95.50624528023597;0.0;4.493754719764011;2.6869948843592484;12.79596671110431;22.07390281724043;33.80361841946479;15.460747344886972;13.178769867249507;21.036891618693485;6.842226077728548;10.532354067226823;52.60048652518808;6.226077347523376;2.761964363639694;1262.0;380.0;882.0;10.0;5.0;867.0;30.11;1.13;0.57
Autreville;02041;DROITE;191.0;54.994101725756714;45.00589827424329;0.6319958059110864;2.4170659640668215;10.959782910987935;12.688423433524123;14.451484371060893;10.099555248597204;15.210407492842009;33.5412846505705;47.2222219895288;22.222221989528794;16.666666492146597;8.333333507853403;5.555555497382199;86.11111099476439;0.0;13.888889005235603;8.154669251402288;10.504826822140712;19.486672337280556;23.360578260125276;16.70878948413376;21.784464089160394;17.86831939448978;3.598977344348892;14.366255225552788;46.40571963150244;9.40809410443966;8.352634299666429;680.0;177.0;503.0;9.0;0.0;494.0;26.03;1.79;0.0
Becquigny;02061;DROITE;116.0;49.14193372989624;50.8580659419335;0.0;5.010593352198069;18.73965268934752;6.742503990033416;18.694418357917503;28.686148500341197;8.458636530240943;13.66804657992136;26.086956896551726;26.086956896551726;34.78260862068965;4.347825862068966;8.695652586206897;86.95652155172414;0.0;13.043478448275863;3.551331894610376;12.172403123398636;24.493002045863438;27.952898235334935;14.720152777874073;17.11021158388229;19.060616309261142;6.295904979393292;16.410678075733955;44.319406667565;9.089105695417524;4.824287933592833;210.0;55.0;155.0;4.0;0.0;151.0;26.19;2.58;0.0
Brécy;02119;DROITE;969.0;52.73895445070398;47.261045549296036;1.5077297979823001;2.740520178150425;7.649127504681355;10.64023831024482;17.851744509936406;17.849996247518877;20.062815818150046;21.697827633335766;64.879235500516;22.876282765737873;2.9838629514963877;5.093340350877193;4.167278431372549;90.73938121775026;0.0;9.260618782249741;4.843619126142048;11.99058907285518;23.37791362862907;28.15167681786687;16.909321666636902;14.726879787627642;18.535136357824978;4.427342560764147;14.73469410854102;47.68771941765034;8.734016596054218;5.88109095916529;234.0;63.0;171.0;2.0;0.0;169.0;26.92;1.17;0.0
Brie;02122;DROITE;5146.563203;46.56911370897944;53.43088631285154;1.217293388232457;2.5899272275373306;9.815239231958413;7.1548785271739845;24.75979671186613;14.522647894094359;18.083778942711284;25.805181383539882;52.484894102251644;29.191381077847424;6.706412384070356;5.202887275219187;5.530913675247836;88.38268754473897;0.8835114853635657;10.733800931036578;3.280820399831301;15.487550930121122;21.955449432672882;25.166222018176477;16.297460038813742;17.812497180384472;24.36995651050854;5.071149718211137;11.294110290130677;45.749425990178416;9.88237013077563;3.63298738120664;44.0;12.0;32.0;0.0;0.0;32.0;27.27;0.0;0.0
Caumont;02145;DROITE;1862.0;50.72192910798449;49.27807079119948;1.768093511236401;4.820780961738532;10.04367225969023;7.799295083924952;15.35476568875602;14.855819638954534;16.948138615895303;42.82612681950927;44.62661471535982;37.28622701396348;7.2340491407089145;4.8597310418904405;4.915927604726102;89.14689087003221;1.0774504833512353;9.77565864661654;6.130492839460022;10.351514191700723;18.69730820716115;23.12558065980646;19.5444864982985;22.150617559771465;18.808070497694526;4.485857217002763;12.946462112961774;49.88086116237406;7.758808128403525;6.119940969166736;455.0;101.0;354.0;7.0;4.0;343.0;22.2;1.98;1.13
Chambry;02157;DROITE;1051.0;50.68077299956401;49.31922706584577;1.9552606069243403;3.8617965988131733;11.056062639664367;8.700862537072487;16.9443345757745;10.019949199460859;20.22145973415069;27.240274108139563;58.12732245480494;17.07933301617507;10.397075927687917;6.737332635585156;4.812380494766889;85.60373139866793;2.846555470980019;11.549713130352046;5.578716617761692;11.32712234907392;20.08215970856585;27.18863458503526;15.40460489296063;20.418761911919304;23.44567123061208;5.832801333963374;11.943755270308124;46.00173347957395;7.1034040132780865;5.672634737581037;614.0;125.0;489.0;5.0;1.0;483.0;20.36;1.02;0.2
