Année;Code_INSEE;Résultat;Femmes;Hommes;Agriculteurs;Artisans;Cadres;Intermédiaires;Employés;Ouvriers;Retraités;Etudiants;Inactifs;Personne seule;Homme seul;Femme seule;Colocation;Famille;Famille monoparentale;Couple sans enfant;Couple avec enfants;Population avec enfants;15-24 ans;25-39 ans;40-54 ans;55-64 ans;65-79 ans;80 ans et +;Mariés;Pacsés;Concubinage;Veufs;Divorcés;Célibataires;Population_active
2022;01017;droite;181.363636;176.590909;0.0;4.772727;0.0;42.954545;62.045455;66.818182;124.090909;0.0;57.272727;85.909091;42.954545;42.954545;0.0;334.090909;23.863636;95.454545;214.772727;420.0;37.0;60.0;94.0;52.0;80.0;26.0;147.0;16.0;43.0;27.0;24.0;92.0;357.954545
2022;01019;gauche;9.375;15.625;0.0;0.0;0.0;6.25;0.0;6.25;12.5;0.0;0.0;3.125;3.125;0.0;0.0;21.875;0.0;12.5;9.375;25.0;1.923077;3.846154;1.923077;6.730769;7.692308;0.0;11.538462;0.0;3.846154;0.961538;2.884615;2.884615;25.0
2022;01021;droite;628.468601;589.888855;0.0;72.892738;145.478995;218.250931;184.440989;141.239885;280.410122;0.0;175.643796;164.497562;65.799025;98.698537;0.0;1253.510241;101.522618;334.152563;817.83506;1418.007803;153.651644;260.703996;329.74727;190.040159;230.222581;50.172637;542.183842;104.206422;117.075569;58.835349;66.771714;325.465391;1218.357456
2022;01022;droite;548.327354;412.542601;0.0;25.156951;40.251121;100.596413;155.910314;115.690583;432.699552;0.0;90.565022;256.600897;90.565022;166.035874;10.06278;855.336323;135.847534;332.071749;387.41704;1122.0;117.0;149.0;224.0;162.0;237.0;100.0;436.0;45.0;91.0;96.0;77.0;244.0;989.0
2022;01023;droite;28.875;38.5;14.4375;0.0;4.8125;14.4375;9.625;9.625;9.625;0.0;4.8125;9.625;4.8125;4.8125;0.0;67.375;0.0;28.875;38.5;77.0;7.092105;15.197368;14.184211;13.171053;12.157895;2.026316;31.407895;12.157895;2.026316;0.0;4.052632;14.184211;67.375
2022;01024;droite;1407.089963;1324.000599;9.778322;142.185353;166.908562;599.316162;491.938675;408.005629;636.765705;0.0;276.192154;428.973473;212.076773;216.8967;9.731873;2933.294654;259.616785;895.332294;1778.345575;3372.0;332.429997;602.353762;695.074375;425.733002;478.419373;169.78098;1301.722755;219.014911;303.126067;134.217815;135.521327;610.188614;2731.090561
2022;01025;droite;1675.633255;1576.12668;54.771589;119.83607;191.509453;635.592596;544.421822;522.338356;795.646561;0.0;387.643488;367.522587;149.139601;218.382987;30.975255;3623.499444;234.319895;1053.158661;2336.020888;4021.997286;392.800442;685.240467;928.273775;525.695799;520.576401;163.492831;1718.017592;243.865432;378.565026;150.624513;115.067589;609.939563;3251.759935
2022;01026;droite;414.3735;378.125948;5.024486;19.919413;49.705917;148.153391;114.281226;134.05752;302.324681;0.0;19.032813;153.512596;71.639211;81.873384;10.048971;766.450758;89.174371;306.220848;371.055539;930.012324;83.867375;212.493249;137.720859;125.82106;148.415073;103.986327;336.742303;47.44507;120.454142;90.110381;60.167996;157.384051;812.303943
2022;01027;droite;1019.193262;1316.713275;9.996833;64.989532;112.130651;367.439545;793.780385;270.310309;346.810134;0.0;370.449148;150.41327;72.825577;77.587692;0.0;1910.835958;118.38538;516.205086;1276.245491;2061.249227;623.164365;787.149196;450.058132;217.921833;237.679958;52.733254;976.508901;208.196079;319.769777;55.860864;103.681986;704.68913;2368.706738
2022;01028;droite;221.380803;253.115606;4.901052;33.940637;38.01728;90.149048;76.120209;62.257053;123.09239;0.0;46.018739;59.94479;39.963193;19.981597;0.0;558.05521;14.425462;196.042095;347.587652;618.0;46.572494;106.963266;114.797211;89.873118;84.298065;25.495797;244.937079;44.458131;48.271384;16.324672;35.766782;78.241903;474.496409
